Song,Artist(s),Writer(s),Album(s),Year,Views
18,One Direction,"['Ed Sheeran', 'Oliver Frank']",Four,2014,70
A.M.,One Direction,"['Niall Horan', 'Liam Payne', 'Harry Styles', 'Louis Tomlinson', 'Ed Drewett', 'John Ryan', 'Julian Bunetta']",Made in the A.M.,2015,"4,4"
Act My Age,One Direction,"['John Ryan', 'Julian Bunetta', 'Ed Drewett']",Four,2014,20
Alive,One Direction,"['Julian Bunetta', 'John Ryan', 'Jamie Scott', 'Louis Tomlinson']",Midnight Memories,2013,"1,3"
Another World,One Direction,"['Achraf Jannusi', 'Bilal Hajji', 'Eric Sanicola', 'Geo Slam', 'RedOne Teddy', 'Sky']",Up All Night,2011,"1,2"
Back for You,One Direction,"['Kristoffer Fogelmark', 'Savan Kotecha', 'Albin Nedler', 'Rami Yacoub', 'Liam Payne', 'Harry Styles', 'Louis Tomlinson', 'Niall Horan']",Take Me Home,2012,"1,8"
Best Song Ever,One Direction,"['Wayne Hector', 'John Ryan', 'Ed Drewett', 'Julian Bunetta']",Midnight Memories,2013,796
Better than Words,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,"3,7"
"C'mon, C'mon",One Direction,"['Jamie Scott', 'John Ryan', 'Julian Bunetta']",Take Me Home,2012,"5,8"
Change My Mind,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha']",Take Me Home,2012,"2,4"
Change Your Ticket,One Direction,"['Niall Horan', 'Zayn Malik', 'Liam Payne', 'Harry Styles', 'Louis Tomlinson', 'Sam Martin', 'Julian Bunetta', 'John Ryan']",Four,2014,11
Clouds,One Direction,"['Zayn Malik', 'Liam Payne', 'Louis Tomlinson', 'Jamie Scott', 'Julian Bunetta', 'John Ryan']",Four,2014,13
Diana,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,"5,1"
Does He Know?,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,"1,6"
Don't Forget Where You Belong,One Direction,"['Tom Fletcher', 'Danny Jones', 'Dougie Poynter', 'Niall Horan']",Midnight Memories,2013,"2,8"
Drag Me Down,One Direction,"['Julian Bunetta', 'Jamie Scott', 'John Ryan']",Made in the A.M.,2015,1000
End of the Day,One Direction,"['Liam Payne', 'Louis Tomlinson', 'Julian Bunetta', 'Ed Drewett', 'Jacob Kasher', 'Wayne Hector', 'Gamal ""LunchMoney""', 'Lewis John', 'Ryan']",Made in the A.M.,2015,14
Everything About You,One Direction,"['Steve Robson', 'Wayne Hector', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik', 'Nandini Srivastava']",Up All Night,2011,"1,4"
Fireproof,One Direction,"['Julian Bunetta', 'Louis Tomlinson', 'Jamie Scott', 'Liam Payne', 'John Ryan']",Four,2014,44
Fool's Gold,One Direction,"['Jamie Scott', 'Maureen McDonald', 'Niall Horan', 'Zayn Malik', 'Liam Payne', 'Harry Styles', 'Louis Tomlinson']",Four,2014,22
Forever Young,One Direction,"['Bernhard Lloyd', 'Marian Gold', 'Frank Mertens']",â,2010,"7,4"
Girl Almighty,One Direction,"['Julian Bunetta', 'John Ryan', 'S. Pages', 'Mehner']",Four,2014,20
Gotta Be You,One Direction,"['Steve Mac', 'August Rigo']",Up All Night,2011,247
Half a Heart,One Direction,"['Steve Robson', 'Ed Drewett', 'Lindy Robbins']",Midnight Memories,2013,"2,3"
Happily,One Direction,"['Savan Kotecha', 'Carl Falk', 'Harry Styles']",Midnight Memories,2013,"7,4"
Heart Attack,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha', 'Shellback Kristian', 'Lundin']",Take Me Home,2012,5
Hey Angel,One Direction,"['Ed Drewett', 'John Ryan', 'Julian Bunetta']",Made in the A.M.,2015,"3,7"
History,One Direction,"['Liam Payne', 'Louis Tomlinson', 'Ed Drewett', 'Wayne Hector', 'Julian Bunetta', 'John Ryan']",Made in the A.M.,2015,449
Home,One Direction,"['Liam Payne', 'Louis Tomlinson', 'Jamie Scott']",Perfect EP,2015,"1,7"
I Should've Kissed You,One Direction,"['Steve Robson', 'Ina Wroldsen']",Up All Night,2011,1
I Want,One Direction,['Tom Fletcher'],Up All Night,2011,"2,5"
I Want to Write You a Song,One Direction,"['Ammar Malik', 'John Ryan', 'Julian Bunetta']",Made in the A.M.,2015,"2,6"
I Wish,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha']",Up All Night,2011,"2,3"
I Would,One Direction,"['Tom Fletcher', 'Danny Jones', 'Dougie Poynter']",Take Me Home,2012,"5,2"
If I Could Fly,One Direction,"['Harry Styles', 'Ross Golan', 'Johan Carlsson']",Made in the A.M.,2015,"6,8"
Illusion,One Direction,"['Liam Payne', 'Niall Horan', 'Jamie Scott', 'Julian Bunetta', 'John Ryan']",Four,2014,"8,7"
Infinity,One Direction,"['Jamie Scott', 'John Ryan', 'Julian Bunetta']",Made in the A.M.,2015,25
Irresistible,One Direction,"['Tom Fletcher', 'Danny Jones', 'Dougie Poynter', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik']",Take Me Home,2012,"1,7"
Kiss You,One Direction,"['Cagaanan Rami', 'Yacoub Carl', 'Falk Savan', 'Kotecha Shellback', 'Kristian Lundin', 'Albin Nedler', 'Kristoffer Fogelmark']",Take Me Home,2012,556
Last First Kiss,One Direction,"['Abin Nedler', 'Kristoffer Fogelmark', 'Rami Yacoub', 'Carl Falk', 'Savan Kotecha', 'Liam Payne', 'Louis Tomlinson', 'Zayn Malik']",Take Me Home,2012,"4,4"
Little Black Dress,One Direction,"['Julian Bunetta', 'John Ryan', 'Theodore Geiger', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,2
Little Things,One Direction,"['Ed Sheeran', 'Fiona Bevan']",Take Me Home,2012,403
Little White Lies,One Direction,"['Julian Bunetta', 'Ed Drewett', 'John Ryan', 'Wayne Hector', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,"2,7"
Live While We're Young,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha']",Take Me Home,2012,738
Long Way Down,One Direction,"['Louis Tomlinson', 'Liam Payne', 'Jamie Scott', 'John Ryan', 'Julian Bunetta']",Made in the A.M.,2015,2
Love You Goodbye,One Direction,"['Louis Tomlinson', 'Julian Bunetta', 'Jacob Kasher']",Made in the A.M.,2015,"4,1"
Loved You First,One Direction,"['Tebey Ottoh', 'Julian Bunetta', 'John Ryan', 'Tommy Lee', 'James']",Take Me Home,2012,"1,2"
Magic,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha']",Take Me Home,2012,"5,1"
Midnight Memories,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,219
Moments,One Direction,"['Ed Sheeran', 'Si Hulbert']",Up All Night,2011,"2,8"
More than This,One Direction,['Jamie Scott'],Up All Night,2011,150
Na Na Na,One Direction,"['Iain James', 'Savan Kotecha', 'James Murray', 'Matt Squire', 'Mustapha Omer']",Up All Night,2011,"1,6"
Never Enough,One Direction,"['Niall Horan', 'John Ryan', 'Julian Bunetta', 'Jamie Scott']",Made in the A.M.,2015,"2,5"
Night Changes,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Niall Horan', 'Zayn Malik', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson']",Four,2014,813
No Control,One Direction,"['Liam Payne', 'Louis Tomlinson', 'Ruth-Anne Cunningham', 'Jamie Scott', 'Julian Bunetta', 'John Ryan']",Four,2014,46
Nobody Compares,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha', 'Shellback']",Take Me Home,2012,"2,7"
Olivia,One Direction,"['Harry Styles', 'John Ryan', 'Julian Bunetta']",Made in the A.M.,2015,14
Once in a Lifetime,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan']",Four,2014,11
One Thing,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha']",Up All Night,2011,794
One Way or Another (Teenage Kicks),One Direction,"['Debbie Harry', 'Nigel Harrison', ""John O'Neill""]",â,2013,481
Over Again,One Direction,"['Ed Sheeran', 'Robert Conlon', 'Alexander Gowers']",Take Me Home,2012,"5,2"
Perfect,One Direction,"['Harry Styles', 'Louis Tomlinson', 'Julian Bunetta', 'Jesse Shatkin', 'Jacob Kasher', 'John Ryan', 'Maureen Anne', 'McDonald']",Made in the A.M.,2015,559
Ready to Run,One Direction,"['Louis Tomlinson', 'Liam Payne', 'Jamie Scott', 'Julian Bunetta', 'John Ryan']",Four,2014,23
Right Now,One Direction,"['Ryan Tedder', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,18
Rock Me,One Direction,"['Lukasz Gottwald', 'Henry Walter', 'Peter Svensson', 'Allan Grigg', 'Sam Hollander']",Take Me Home,2012,"6,7"
Same Mistakes,One Direction,"['Steve Robson', 'Wayne Hector', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik']",Up All Night,2011,"1,6"
Save You Tonight,One Direction,"['RedOne BeatGeek', 'Jimmy Joker', 'Teddy Sky', 'Achraf Jannusi', 'Alaina Beaton', 'Savan Kotecha']",Up All Night,2011,"1,3"
She's Not Afraid,One Direction,"['Jamie Scott', 'John Ryan', 'Julian Bunetta']",Take Me Home,2012,"3,7"
Something Great,One Direction,"['Jacknife Lee', 'Gary Lightbody', 'Harry Styles']",Midnight Memories,2013,"1,4"
Spaces,One Direction,"['Liam Payne', 'Louis Tomlinson', 'Jamie Scott', 'Julian Bunetta', 'John Ryan']",Four,2014,15
Stand Up,One Direction,"['Roy Stride', 'Josh Wilkinson']",Up All Night,2011,"1,2"
Steal My Girl,One Direction,"['Wayne Hector', 'John Ryan', 'Julian Bunetta', 'Ed Drewett', 'Louis Tomlinson', 'Liam Payne']",Four,2014,433
Still the One,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson']",Take Me Home,2012,"2,6"
Stockholm Syndrome,One Direction,"['Harry Styles', 'Julian Bunetta', 'John Ryan', 'Johan Carlsson']",Four,2014,37
Stole My Heart,One Direction,"['Jamie Scott', 'Paul Meehan']",Up All Night,2011,"1,7"
Story of My Life,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik']",Midnight Memories,2013,1000
Strong,One Direction,"['Jamie Scott', 'Julian Bunetta', 'John Ryan', 'Louis Tomlinson']",Midnight Memories,2013,11
Summer Love,One Direction,"['Steve Robson', 'Wayne Hector', 'Lindy Robbins', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik']",Take Me Home,2012,"1,8"
Taken,One Direction,"['Toby Gad', 'Lindy Robbins', 'Harry Styles', 'Liam Payne', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik']",Up All Night,2011,"1,7"
Tell Me a Lie,One Direction,"['Kelly Clarkson', 'Tom Meredith', 'Shep Solomon']",Up All Night,2011,"1,6"
Temporary Fix,One Direction,"['Niall Horan', 'Wayne Hector', 'TMS']",Made in the A.M.,2015,"4,8"
They Don't Know About Us,One Direction,"['Tebey Ottoh', 'Tommy Lee', 'James Peter', 'Wallevik Tommy', 'P Gregersen']",Take Me Home,2012,13
Through the Dark,One Direction,"['Jamie Scott', 'Toby Smith', 'Liam Payne', 'Louis Tomlinson']",Midnight Memories,2013,"4,7"
"Truly, Madly, Deeply",One Direction,"['Trevor Dahl', 'Toby Gad', 'Lindy Robbins']",Take Me Home,2012,"1,2"
Up All Night,One Direction,"['Savan Kotecha', 'Matt Squire']",Up All Night,2011,"3,3"
Walking in the Wind,One Direction,"['Harry Styles', 'Julian Bunetta', 'Jamie Scott', 'John Ryan']",Made in the A.M.,2015,"8,2"
What a Feeling,One Direction,"['Liam Payne', 'Louis Tomlinson', 'Mike Needle', 'Daniel Bryer', 'Jamie Scott']",Made in the A.M.,2015,"6,8"
What Makes You Beautiful,One Direction,"['Rami Yacoub', 'Carl Falk', 'Savan Kotecha']",Up All Night,2011,"1500"
Where Do Broken Hearts Go,One Direction,"['Harry Styles', 'Julian Bunetta', 'Ruth-Anne Cunningham', 'Theodore Geiger', 'Ali Tamposi']",Four,2014,32
Why Don't We Go There,One Direction,"['Steve Robson', 'Claude Kelly', 'Wayne Hector', 'Louis Tomlinson']",Midnight Memories,2013,"2,2"
Wolves,One Direction,"['Niall Horan', 'Liam Payne', 'Will Champlin', 'Andrew Haas', 'Ian Franzino']",Made in the A.M.,2015,"4,2"
You & I,One Direction,"['Jamie Scott', 'Julian Bunetta', 'Niall Horan', 'John Ryan']",Midnight Memories,2013,609
